case_id,stage,trial,label,status,ingestion_passed,ingestion_total,financial_passed,financial_total,judgment_passed,judgment_total,critical_errors,cost_usd,known_partial_cost_usd,cost_basis,run_path
of-01,initial,1,Opus 5 API agent,completed,18,18,12,12,8,8,0,2.13336,2.13336,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/of-01
of-01,revision,1,Opus 5 API agent,completed,18,18,12,12,8,8,0,,2.492445,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/of-01
rt-01,initial,1,Opus 5 API agent,completed,18,18,12,12,7,8,0,1.45916,1.45916,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/rt-01
rt-01,revision,1,Opus 5 API agent,completed,18,18,12,12,7,8,0,2.36895,2.36895,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/anthropic--claude-opus-5/rt-01
in-01,initial,1,GPT-5 API agent,completed,18,18,11,12,7,8,0,0.29205675000000003,0.29205675000000003,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/in-01
in-01,revision,1,GPT-5 API agent,completed,18,18,11,12,7,8,0,0.131296,0.131296,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/in-01
mf-01,initial,1,GPT-5 API agent,completed,17,18,12,12,8,8,1,0.537786,0.537786,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/mf-01
mf-01,revision,1,GPT-5 API agent,completed,16,18,12,12,7,8,1,0.19812675,0.19812675,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/mf-01
mf-02,initial,1,GPT-5 API agent,completed,18,18,11,12,8,8,0,0.4121225,0.4121225,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/mf-02
mf-02,revision,1,GPT-5 API agent,completed,16,18,11,12,8,8,1,0.149172,0.149172,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/mf-02
of-01,initial,1,GPT-5 API agent,completed,18,18,12,12,8,8,0,,0.40878925,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/of-01
of-01,revision,1,GPT-5 API agent,completed,16,18,12,12,7,8,1,0.160081,0.160081,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/of-01
rt-01,initial,1,GPT-5 API agent,completed,17,18,12,12,6,8,0,0.21739725000000001,0.21739725000000001,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/rt-01
rt-01,revision,1,GPT-5 API agent,completed,17,18,12,12,6,8,0,0.12155925000000001,0.12155925000000001,Gateway reported,experiments/2026-09-07-cre-work-v2/credential-resumption/api/trial-1/openai--gpt-5/rt-01
in-01,initial,1,Lev Agent,completed,18,18,5,12,7,8,4,2.61680175,2.61680175,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/in-01
in-01,revision,1,Lev Agent,completed,18,18,5,12,7,8,4,2.154752,2.154752,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/in-01
mf-01,initial,1,Lev Agent,completed,12,18,12,12,8,8,1,1.78977275,1.78977275,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/mf-01
mf-01,revision,1,Lev Agent,completed,12,18,12,12,8,8,1,2.20858875,2.20858875,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/mf-01
of-01,initial,1,Lev Agent,completed,18,18,4,12,8,8,4,2.13888175,2.13888175,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/of-01
of-01,revision,1,Lev Agent,completed,18,18,5,12,8,8,4,2.49028675,2.49028675,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/of-01
rt-01,initial,1,Lev Agent,completed,14,18,4,12,7,8,5,2.0057145,2.0057145,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/rt-01
rt-01,revision,1,Lev Agent,completed,16,18,4,12,7,8,5,2.3831445,2.3831445,Native trace estimate,experiments/2026-09-07-cre-work-v2/native/trial-1/lev-agent/rt-01
mf-01,initial,1,Claude Chat · Opus 5 High,completed,18,18,12,12,8,8,0,,,Unmeasured consumer inference,experiments/2026-09-07-cre-work-v2/consumer/trial-1/claude-consumer/mf-01
mf-01,revision,1,Claude Chat · Opus 5 High,completed,18,18,12,12,8,8,0,,,Unmeasured consumer inference,experiments/2026-09-07-cre-work-v2/consumer/trial-1/claude-consumer/mf-01
