case,system,condition,status,verified,target,eligible,returned,screening_correct,screening_total,material_errors,artifact_passed,artifact_total,inference_usd,cost_basis
refinance-leads-cypress,GPT-5 direct,direct,completed,6,6,6,7,19,20,1,,,0.11019625,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-cypress,Opus 5 direct,direct,completed,5,6,6,6,20,20,0,,,0.210265,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-dogwood,Lev Agent,lev_native,completed,6,6,6,6,20,20,0,3,4,0.6224685,PostHog model-rate estimate; not a billed Lev customer price
refinance-leads-dogwood,GPT-5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.29875799999999997,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-dogwood,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.28210999999999997,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-dogwood,GPT-5 direct,direct,completed,6,6,6,6,20,20,0,,,0.10348125,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-dogwood,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.2075,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-elm,Lev Agent,lev_native,completed,2,2,2,3,19,20,1,3,4,0.5288765,PostHog model-rate estimate; not a billed Lev customer price
refinance-leads-elm,GPT-5 + tools,agent,completed,2,2,2,3,19,20,1,3,4,0.3128265,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-elm,Opus 5 + tools,agent,completed,2,2,2,2,20,20,0,3,4,0.28809999999999997,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-elm,GPT-5 direct,direct,completed,2,2,2,2,20,20,0,,,0.0806675,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-elm,Opus 5 direct,direct,completed,2,2,2,2,20,20,0,,,0.182455,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-fir,Lev Agent,lev_native,completed,0,0,0,0,20,20,0,4,4,0.5908495,PostHog model-rate estimate; not a billed Lev customer price
refinance-leads-fir,GPT-5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.18099425,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-fir,Opus 5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.25638,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-fir,GPT-5 direct,direct,completed,0,0,0,0,20,20,0,,,0.069485,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
refinance-leads-fir,Opus 5 direct,direct,completed,0,0,0,0,20,20,0,,,0.15002,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-alder,Lev Agent,lev_native,completed,5,5,5,5,19,20,0,4,4,0.56936725,PostHog model-rate estimate; not a billed Lev customer price
rent-comps-alder,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.4952655,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-alder,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.50453,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-alder,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.14403,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-alder,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.215745,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-birch,Lev Agent,lev_native,completed,5,5,5,5,19,20,0,4,4,0.55367875,PostHog model-rate estimate; not a billed Lev customer price
rent-comps-birch,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.45746025,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-birch,Opus 5 + tools,agent,completed,5,5,5,5,19,20,0,4,4,0.6280600000000001,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-birch,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.1338575,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-birch,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.23013,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-cypress,Lev Agent,lev_native,completed,5,5,5,5,19,20,0,4,4,0.5698792500000001,PostHog model-rate estimate; not a billed Lev customer price
rent-comps-cypress,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.35981050000000003,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-cypress,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.511805,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-cypress,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.14908125,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-cypress,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.226705,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-dogwood,Lev Agent,lev_native,completed,5,5,5,5,19,20,0,4,4,0.60725825,PostHog model-rate estimate; not a billed Lev customer price
rent-comps-dogwood,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.27104775,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-dogwood,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.596995,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-dogwood,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.13247625,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-dogwood,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.21937,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-elm,Lev Agent,lev_native,completed,3,3,3,4,18,20,1,4,4,0.603819,PostHog model-rate estimate; not a billed Lev customer price
rent-comps-elm,GPT-5 + tools,agent,completed,3,3,3,3,17,20,0,4,4,0.18845425000000002,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-elm,Opus 5 + tools,agent,completed,3,3,3,3,20,20,0,4,4,0.41118499999999997,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-elm,GPT-5 direct,direct,infrastructure_error,,,,,,,,,,,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-elm,Opus 5 direct,direct,completed,3,3,3,3,20,20,0,,,0.19142,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-fir,Lev Agent,lev_native,completed,0,0,0,0,20,20,0,4,4,0.5429945,PostHog model-rate estimate; not a billed Lev customer price
rent-comps-fir,GPT-5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.135687,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-fir,Opus 5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.911095,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-fir,GPT-5 direct,direct,completed,0,0,0,0,20,20,0,,,0.08421375,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
rent-comps-fir,Opus 5 direct,direct,completed,0,0,0,0,20,20,0,,,0.13219,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-alder,Lev Agent,lev_native,completed,5,5,5,5,19,20,0,4,4,0.64553875,PostHog model-rate estimate; not a billed Lev customer price
sales-comps-alder,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.203075,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-alder,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.377965,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-alder,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.09664625,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-alder,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.158275,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-birch,Lev Agent,lev_native,completed,5,5,5,5,18,20,0,4,4,0.618047,PostHog model-rate estimate; not a billed Lev customer price
sales-comps-birch,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.15883775,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-birch,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.338265,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-birch,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.087025,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-birch,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.157915,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-cypress,Lev Agent,lev_native,completed,5,5,5,5,19,20,0,4,4,0.634655,PostHog model-rate estimate; not a billed Lev customer price
sales-comps-cypress,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.20613775,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-cypress,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.355445,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-cypress,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.10219875,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-cypress,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.17522,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-dogwood,Lev Agent,lev_native,completed,5,5,5,5,20,20,0,4,4,0.72973975,PostHog model-rate estimate; not a billed Lev customer price
sales-comps-dogwood,GPT-5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.2220065,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-dogwood,Opus 5 + tools,agent,completed,5,5,5,5,20,20,0,4,4,0.42435500000000004,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-dogwood,GPT-5 direct,direct,completed,5,5,5,5,20,20,0,,,0.0828225,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-dogwood,Opus 5 direct,direct,completed,5,5,5,5,20,20,0,,,0.16953,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-elm,Lev Agent,lev_native,completed,3,3,3,3,20,20,0,4,4,0.64498425,PostHog model-rate estimate; not a billed Lev customer price
sales-comps-elm,GPT-5 + tools,agent,completed,3,3,3,3,20,20,0,4,4,0.225564,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-elm,Opus 5 + tools,agent,completed,3,3,3,3,20,20,0,4,4,0.383565,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-elm,GPT-5 direct,direct,completed,3,3,3,3,20,20,0,,,0.090125,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-elm,Opus 5 direct,direct,completed,3,3,3,3,20,20,0,,,0.150125,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-fir,Lev Agent,lev_native,completed,0,0,0,0,20,20,0,4,4,0.3223155,PostHog model-rate estimate; not a billed Lev customer price
sales-comps-fir,GPT-5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.12877675,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-fir,Opus 5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.389185,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-fir,GPT-5 direct,direct,completed,0,0,0,0,20,20,0,,,0.07505125,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sales-comps-fir,Opus 5 direct,direct,completed,0,0,0,0,20,20,0,,,0.12835,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-alder,Lev Agent,lev_native,completed,6,6,6,7,19,20,1,3,4,0.544048,PostHog model-rate estimate; not a billed Lev customer price
sponsor-leads-alder,GPT-5 + tools,agent,completed,6,6,6,7,19,20,1,3,4,0.24883899999999998,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-alder,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.30266,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-alder,GPT-5 direct,direct,completed,6,6,6,7,19,20,1,,,0.11851,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-alder,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.214,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-birch,Lev Agent,lev_native,completed,6,6,6,6,20,20,0,2,4,0.39813775,PostHog model-rate estimate; not a billed Lev customer price
sponsor-leads-birch,GPT-5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.25125275,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-birch,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.39698,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-birch,GPT-5 direct,direct,completed,6,6,6,6,20,20,0,,,0.1088775,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-birch,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.19673,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-cypress,Lev Agent,lev_native,completed,6,6,6,7,19,20,1,3,4,0.33675425000000003,PostHog model-rate estimate; not a billed Lev customer price
sponsor-leads-cypress,GPT-5 + tools,agent,completed,6,6,6,6,20,20,0,3,4,0.34930875,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-cypress,Opus 5 + tools,agent,completed,6,6,6,6,20,20,0,4,4,0.28124499999999997,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-cypress,GPT-5 direct,direct,completed,6,6,6,6,19,20,0,,,0.103005,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-cypress,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.211495,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-dogwood,Lev Agent,lev_native,completed,5,6,6,7,18,20,3,3,4,0.379625,PostHog model-rate estimate; not a billed Lev customer price
sponsor-leads-dogwood,GPT-5 + tools,agent,completed,5,6,6,6,20,20,0,3,4,0.17334175000000002,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-dogwood,Opus 5 + tools,agent,completed,5,6,6,6,20,20,2,3,4,0.29317499999999996,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-dogwood,GPT-5 direct,direct,completed,5,6,6,6,20,20,0,,,0.11206625,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-dogwood,Opus 5 direct,direct,completed,6,6,6,6,20,20,0,,,0.2234,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-elm,Lev Agent,lev_native,completed,3,3,3,3,20,20,0,4,4,0.6938044999999999,PostHog model-rate estimate; not a billed Lev customer price
sponsor-leads-elm,GPT-5 + tools,agent,completed,3,3,3,3,20,20,0,4,4,0.27319225,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-elm,Opus 5 + tools,agent,completed,3,3,3,3,20,20,0,4,4,0.260335,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-elm,GPT-5 direct,direct,completed,3,3,3,3,20,20,0,,,0.074875,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-elm,Opus 5 direct,direct,completed,3,3,3,3,20,20,0,,,0.174295,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-fir,Lev Agent,lev_native,completed,0,0,0,0,20,20,0,4,4,0.27594825,PostHog model-rate estimate; not a billed Lev customer price
sponsor-leads-fir,GPT-5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.13906325,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-fir,Opus 5 + tools,agent,completed,0,0,0,0,20,20,0,4,4,0.30383,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-fir,GPT-5 direct,direct,completed,0,0,0,0,20,20,0,,,0.0735125,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
sponsor-leads-fir,Opus 5 direct,direct,completed,0,0,0,0,20,20,0,,,0.149765,"Gateway-reported inference including every attempt; excludes operator, hosting and subscription"
